"ID","NOMBRE","TIPO","N_MODIFICACIONES","VIGENTE","VIG_ANIOS","VIG_INICIO","VIG_FIN","UBICACION","CUENCA","ESTATUS","SITUACION","SUPERFICIE_KM2","LITOLOGIA","TIPO_YACIMIENTO","FORMACION","PERIODO_GEO","FECHA_TITULO","N_CAMPOS_RESERVAS","CAMPOS_CON_RESERVAS","FECHA_RESERVAS","ENTIDADES"
"A-0045","A-0045-M - Campo Bedel","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Veracruz","Modificada","Pemex",22.786,"Areniscas","Aceite negro","Mioceno Medio","Neógeno",25/07/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@4af1feb","1-ene-17","Veracruz"
"A-0046","A-0046-M - Campo Bellota","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Cuencas del Sureste","Modificada","Pemex",74.7,"Caliza/Dolomía","Aceite volátil","Cretácico Medio y Jurásico Superior Kimmeridgiano","Cretácico;Jurásico",28/07/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@423930e2","1-ene-17","Tabasco"
"A-0047","A-0047-M - Campo Blasillo","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Cuencas del Sureste","Modificada","Pemex",38.989,"Areniscas","Aceite negro","Encanto","Neógeno;Paleógeno",15/09/15,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@4a3c9cb0","1-ene-17","Tabasco;Veracruz"
"A-0049","A-0049-M - Campo Bolontikú","Extracción",1,1,"20",13/08/14,13/08/34,"Marino","Cuencas del Sureste","Modificada","Pemex",52.408,"Calizas Fracturadas","Aceite volátil","Kimmeridgiano","Jurásico",17/08/15,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@677b5659","1-ene-17","Tabasco"
"A-0050","A-0050-M - Campo Bricol","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Cuencas del Sureste","Modificada","Pemex",83.518,"Caliza/Dolomía","Aceite volátil","Jurásico Superior Kimmeridgiano","Jurásico",28/07/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@7bc0860f","1-ene-17","Tabasco"
"A-0051","A-0051-M - Campo Brillante","Extracción",1,1,"20",13/08/14,13/08/34,"Marino y Terrestre","Cuencas del Sureste","Modificada","Pemex",24.343,"Areniscas","Aceite volátil","Encanto","Neógeno;Paleógeno",04/02/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@5cc861d0","1-ene-17","Veracruz"
"A-0053","A-0053-M - Campo Caan","Extracción",1,1,"20",13/08/14,13/08/34,"Marino","Cuencas del Sureste","Modificada","Pemex",92.451,"Caliza Dolomitizada","Aceite negro","Superior","Cretácico",04/02/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@4c57ec27","1-ene-17","Campeche"
"A-0054","A-0054-M - Campo Cabeza","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Burgos","Modificada","Pemex",72.779,"Areniscas","Gas húmedo no asociado","YEGUA","Paleogeno",25/07/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@53630c01","1-ene-17","Nuevo León"
"A-0055","A-0055-M - Campo Cacahuatengo","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Tampico - Misantla","Modificada","Pemex",46.012,"Areniscas y Lutitas","Aceite negro","Chicontepec","Paleogeno",25/07/16,4,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@54af8152","1-ene-17","Puebla;Veracruz"
"A-0057","A-0057-M - Campo Cactus","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Cuencas del Sureste","Modificada","Pemex",102.49799999999999,"Dolomías","Aceite negro","Cretácico","Cretácico",25/07/16,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@2d5204c","1-ene-17","Chiapas;Tabasco"
"A-0060","A-0060-M - Campo Cañón","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Burgos","Modificada","Pemex",27.453,"Areniscas","Gas húmedo no asociado","Vicksburg","Paleogeno",28/07/16,2,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@5e7c4dd0","1-ene-17","Tamaulipas"
"A-0061","A-0061 - Campo Caparroso-Pijije-Escuintle","Extracción",0,1,"20",13/08/14,13/08/34,"Terrestre","Cuencas del Sureste","Original","Pemex",64,"Calizas","Aceite volátil","Cretácico Superior-Medio-Inferior","Cretácico",13/08/14,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@55ce5e41","1-ene-17","Tabasco"
"A-0064","A-0064-M - Campo Caristay","Extracción",1,1,"20",13/08/14,13/08/34,"Terrestre","Tampico - Misantla","Modificada","Pemex",7.152,"Caliza","Aceite negro","El Abra","Cretácico Medio",26/01/17,1,"oracle.jdbc.proxy.oracle$1jdbc$1proxy$1NullProxy$2java$1sql$1Clob$$$Proxy@10d24ab8","1-ene-17","Veracruz"
